Card-Name-Balance-Statement Date
4539 3420 1995 6893-Ciaran T. Ray-€5,615-Mar 19, 2020
4716 216 28 9543-Jolene F. James-€2,279-May 1, 2021
4532 934 90 2469-TaShya L. Preston-€0,809-Oct 11, 2020
4024 007 16 1116-Kerry E. Conrad-€5,173-Aug 24, 2020
4539 799 90 2666-Deborah L. Graves-€9,729-Feb 18, 2021
492913 7918385006-Nadine W. Sykes-€9,231-Feb 27, 2020
448 50136 23634 523-Erich V. Chapman-€4,139-Apr 6, 2021
453200 299422 7218-Eagan X. Day-€4,736-Feb 23, 2020
4929051928500233-Amal I. Nielsen-€3,495-Jan 23, 2020
402400 716023 4729-Asher J. Rosales-€7,862-Nov 26, 2020
453 23554 89415 213-Jared M. Wong-€4,334-Mar 4, 2020
4485 078 55 7054-Plato J. Vega-€6,249-Apr 23, 2021
4929132044930-Teegan C. Schmidt-€2,383-Mar 21, 2021
4556180974856-Hoyt H. Macias-€6,073-Jul 1, 2021
4325228359997662-Sade Y. Stanton-€6,545-Dec 13, 2019
4024007147198-Dolan C. Mendoza-€3,624-Jul 25, 2020
4413 184 36 5113-Darrel W. Meyers-€8,286-Jan 11, 2020
4929818828077-Madeline E. Mercer-€2,577-Nov 20, 2019
4916 3728 0015 4385-Chiquita S. Weber-€8,223-Feb 2, 2021
4539304454104-Natalie Q. Mcconnell-€3,382-Jul 31, 2021
4532 257 49 4920-Stephen Y. Luna-€3,660-Jun 21, 2020
402 40071 15157 348-Lucian F. Garza-€4,287-Aug 6, 2020
4539046256346-Chester A. Cooley-€6,226-Nov 27, 2020
4471 9204 7104 1856-Nolan J. Hoover-€9,221-Jul 11, 2021
4929 008 61 9419-Noelani A. Downs-€6,493-May 9, 2020
492 93417 89777 800-Candace D. Case-€4,390-Jun 7, 2020
4556 563 79 0721-Ferris W. Powers-€2,004-Feb 29, 2020
455664 2575137368-Dorian X. Daugherty-€3,137-Aug 10, 2020
4851 0921 0321 3954-Gary D. Logan-€0,732-Mar 30, 2020
4485283539160-Cheyenne L. Skinner-€4,507-Apr 8, 2021
453267 6794099123-Deirdre C. Shepherd-€0,540-Apr 17, 2020
4556613988689-Perry O. Crane-€3,662-Mar 4, 2020
4539115094164-Madonna P. Hunter-€9,071-Aug 13, 2021
4716 862 99 6920-Cameron X. Ball-€4,050-Mar 20, 2021
4024007139823-Michelle O. Campos-€8,179-May 17, 2020
4024007158690-Gail N. Fowler-€7,578-Jul 22, 2020
4556204779398-Emily F. Merrill-€1,623-Nov 22, 2020
4929569801209408-Gemma F. Ferrell-€9,188-May 7, 2020
4485244587380320-Davis V. Hayes-€2,762-Jun 13, 2020
4929725594960-Bruno E. Perry-€6,966-Jun 12, 2020
4532652950971-Dillon X. Burns-€1,564-Jul 12, 2020
453208 919495 5706-Amir T. Case-€7,433-Mar 25, 2020
453209 6915104514-Zena R. Barr-€6,454-Apr 11, 2020
4556 512 95 3255-Julie Z. Simpson-€4,884-Nov 28, 2020
4532 294 28 9606-Hollee H. Lang-€7,225-Aug 16, 2021
4929870497274-Audra J. Cooley-€2,243-Jan 23, 2020
4916991805690182-Vincent Z. Solis-€6,167-Jan 7, 2020
471634 851172 5673-Bell L. Hubbard-€4,189-Jan 6, 2021
402400 7198903246-Rigel A. Dale-€5,429-Mar 17, 2020
4916 559 64 7154-Desirae I. Norton-€7,973-Apr 20, 2020
4916 348 57 2614-Geraldine H. Cantu-€5,284-Feb 4, 2021
4532 339 66 4110-Ifeoma K. Warner-€6,178-Feb 4, 2021
448 58054 27128 507-Yael O. Torres-€8,595-Feb 19, 2021
4532781094980-Reece I. Conner-€9,584-Apr 28, 2020
4539224912637-Hayley E. Guerra-€8,897-Oct 21, 2021
4556913048879-Farrah Y. Whitney-€8,789-Jun 7, 2021
497274 593935 1876-Graham H. Morrow-€6,350-Oct 3, 2020
4716 621 43 5848-Lael W. Espinoza-€9,730-Sep 12, 2021
4916 6532 7136 4995-Martena B. Gardner-€5,911-Jan 4, 2021
453 25688 10565 353-Brielle R. Mann-€1,181-May 15, 2020
402400 717303 0072-Zorita K. Flynn-€1,463-Nov 23, 2020
4532359189410573-Cassady E. Perry-€4,936-Jul 8, 2021
448 54352 88431 970-Dean O. Roth-€3,997-Jan 22, 2021
4227668842833413-Kyle O. Talley-€9,597-Aug 4, 2020
4024 007 11 8694-Ethan L. Thomas-€5,895-Feb 13, 2021
4716021128925636-India H. Buckley-€8,601-Apr 7, 2020
454 94750 61366 278-Elliott D. Holder-€7,294-Nov 10, 2019
4024 007 11 4248-Paul J. Kerr-€6,759-Aug 13, 2021
4024007119916-Halla N. Price-€7,422-Jun 11, 2021
402 40071 61423 784-Lacy V. Carson-€8,536-Apr 21, 2021
4916061022797-Steven K. Todd-€7,835-Jan 13, 2020
4532 545 98 4302-Kyra I. Rivers-€1,436-Aug 11, 2020
455612 795629 8252-Kaden J. Hogan-€5,889-Mar 22, 2021
4532 947 79 5900-Illana J. Cooper-€6,242-May 8, 2020
4539770115114-Pandora N. Phelps-€6,489-Dec 21, 2020
4474 390 37 7938-Jenette V. Cohen-€3,708-Feb 29, 2020
4859644278785-Preston K. Hall-€9,518-Dec 10, 2019
